,Tweets,Personal_attack
65,The legacy of Democrats: -Tax hikes -Cancel culture -Riots -Rapists -Censorship -Gun control -Against due process The legacy of Trump: -Tax cuts -Free speech -Record low unemployment -Record high stock market -2nd amendment -Law &amp; order -Pro USA VOTE FOR COMMON SENSE #TRUMP2020,0
66,"⁉️ Poll Time ⁉️ (yes,... again ) Giving human *and* animal rights an equal voice in the #vegan activist community, would be more effective at changing minds than focussing *solely* on animal rights. As always, clarifications in comments please ✊❤️",0
67,"@KaitMarieox In the UK, we think Trump is a racist and misogynist. I think we know who's best for the US and the world.",1
68,"@veganunityday To me, veganism is intersectional. I’ll fight for the exploited workers in slaughterhouses, the third world nations who’s crops are stolen to feed western livestock and for the millions starving because of it.",0
69,"@baggyneil @KaitMarieox In the UK, your opinion on America hasn’t mattered since 1776.",0
70,"@EcoGof Do you think an outreach event ,similar to a cube (for example), which showed both human and animal rights violations, would be effective?",0
71,Getting fired for jerking off in front of your coworkers has *nothing* to do with cancel culture.,0
72,"@veganunityday Good questions, dude. I think when it comes to Cubes, what works so well is the imagery used. It’s jarring, and a total exposure of a well kept secret. With the human toll of AnAg, it absolutely needs discussed - an outreach session absolutely 1/2",0
73,"@veganunityday 2/2 But it can’t, and shouldn’t (IMO), overshadow the hell that the non-human animals go through. (Hope I’m coming across correctly)",0
74,@RW_Crank I missed this story. Is that what this asswipe did?,0
75,"@EcoGof No, I get you. And I agree it shouldn't overshadow cruelty to animals. What if we focussed on human suffering in agriculture full stop? Animal and plant agriculture. If the focus was on oppression of humans and non-humans.  (I know these are potentially divisive questions )",0
76,"@TriqnTori @RW_Crank Thought the camera was off, jerked off on a Zoom call.",0
77,@veganunityday @ukmav @EcoGof I don’t like cubes because of the way I was treated. And the approach they use I think is a bit wrong.,0
78,@GTBilly13 @TriqnTori @RW_Crank Lol oh man that is bad news bears.,0
79," Some people think going vegan is hard…! How do you think these poor babies feel ?! They feel pain and fear !!! All we need are humans with hearts that understand…!! These innocent angels really need your help.  Please be kind, and #GoVegan !! #AnimalRights https://t.co/LrhfOrxlFM",0
80,@angie_karan The steak i had for dinner today was really tasty,0
81,"not gonna confirm it because of cancel culture reasons but purely based off of what you know about me, which do you think i am?",0
82,"@GangflowersE Yes, there was pus, cancer and bad KARMA in disguise in it!! Happy digestion NOT!! ✌✔✔✔ #GoVegan ",0
83,@GayFuzzBall Oh shit i had no idea you were a minor lol,0
84,@Fenix_Pony lmao its still kinda stupid tho because so many of those people tell minors that were not even supposed to know these things or feel these ways despite teenage years being the horniest years in their lives for most people due to puberty and self-exploration,0
85,Do you see the open wound on the back of this dog's leg? And the dog plowing its head into the snow? This NOT normal behaviour! It is the Yukon Quest! Sign the Petition! #Yukon #SledDogs #AnimalAbuse #AnimalRights  https://t.co/ZofIKBix6w https://t.co/QEfUFXgDTO,0
86,@pjjohnsonYukon Os inúteis e cretinos que organizam estes espectáculos para explorar e torturar animais não passam de inúteis parasitas e sgressores covardes. Que vão trabalhar esses inúteis!!!,0
87,@GayFuzzBall I mean you do have a point. I think as long as youre keeping the nsfw stuff within your own age group and not catfishing adults i dont think we as adults have any authority to police you for what you should and shouldnt know.,0
88,@CarlaCo92330391 Eu concordo Carla,0
89,@JessCluess And let’s be clear: This was not really about debates about the canon. It was about you hurling violent tweets at a Black educator. So don’t try and rebrand yourself as some brave truth-teller standing up against cancel culture ™ or whatever in a few weeks.,0
90,@Murky__Meg I wonder what the British public would think of the Royal Family if they gave into an extension?,0
91,"""Black Lives Matter""...except if a black man is *literally starving*, so he hunts, cooks &amp; eats some (unappropriated=res nullius) animal. Because that would conflicts with another form of virtue-signaling folly which is more trendy than anti-racism: ""animal-rights"" fanaticism.",0
92,@JessCluess And let’s be clear: This was not really about debates about the canon. It was about you hurling violent tweets at a Black educator. So don’t try and rebrand yourself as some brave truth-teller standing up against cancel culture ™ or whatever in a few weeks.,0
93,"@giacomozucco I mean.. he could have killed the cat first, no?",0
94,"@marshav14 @Murky__Meg I say let them keep titles, remove patronages and @queenscomtrust and @RoyalMarines roles and the gag order on the press... Let the media run with the stories.... As she says she's such a fraud.... Let the games begin",0
95,"@AmbridgeOrganic @Murky__Meg @RoyalMarines No, which is why this speculation is nonsense. They quit and the posts need to be filled asap.",0
96,@CodyMillerELA @JessCluess I don’t think these are her words. This reads like a statement corporate wrote.,0
97,@MrHodl @giacomozucco Do you realize how much better the flavor is when the cat is burned alive?,0
98,A global group of 415 investors managing $32 trillion in assets are warning that ignoring action against climate change could cause permanent economic damage up to four times the size of the 2008 financial crisis. #ActOnClimate #KeepItInTheGround https://t.co/KyGsuxwhhb,0
99,"@mrbgilson @JessCluess There is joy in truth, yes.",0
100,@Grassmaster_ @MrHodl Not sure that's a thing.,0
101,So this is how cancel culture feels like firsthand,0
102,@PaulEDawson Climate change presents A tremendous business opportunity.  Rebuilding coastal cities Further inland Will be the greatest real estate boom In the history of humanity.,0
103,@SonicBasedSizi What happened?,0
104,"@sregoczei @PaulEDawson I agree. OTOH, someone’s gotta pay for all this. I know... just borrow more from our grandkids’ future as no debt will ever be paid back. Still, who will keep buying the debt will at some point become problematic.",0
105,"@isacthestarally @SonicBasedSizi Some guy tried to cancel him over having BLM in his bio but not tweeting anything to back that up recently, it’s really stupid and undeserved",1
106,"‼️A terrorist took 13 hostages in Lutsk, Ukraine, then demanded that President Zelensky must recommend a movie about animal rights narrated by Joaquin Phoenix. Eventually, President Zelensky complied with terrorist’s demands, the hostages were released. AND IT’S NOT BLACK MIRROR! https://t.co/AHLhXX3omz",0
107,"@GaryLoew @sregoczei @PaulEDawson Debt wasn't supposed to be paid back. It it was, interest would not exist.",0
108,@komadovsky @leif_figueroa wtf,0
109,@sjarldekool @sregoczei @PaulEDawson So the sole purpose of the maturity date is to keep underwriters employed? Why not issue perpetuities?,0
110,@cabbagemerchan2 @SonicBasedSizi Jesus christ.,0
111,"@DafneFCh @komadovsky Weeeee, que está pasando???",0
112,"@GaryLoew @sregoczei @PaulEDawson Not sure about specifics, but fundamentally debt is nothing but a balance sheet abstraction of human labor. And the purpose of interest is to keep previous, current and future generations on the leash.",0
113,"Cancel culture operates with a similar psychological mechanism to the way fundamentalist religions treat sinners or heretics. Vilifying or demonising, public shamings, the cancellee is labelled as 'bad', and then ostracised from the community.",0
114,Please sign: and RT for cats and dogs skinned and decapitated for sickening 'crush' videos. #AnimalRights #StopAnimalCruelty #Kill4Fun #UnKn0wn  https://t.co/QBULd8b3hH,0
115,"@sjarldekool @GaryLoew @PaulEDawson Interesting. This tells me That you never worked as a salesman Once you work as a salesman, You begin to understand the world A bit better Human labour (your term) Is worthless Until a salesman sells it And thereby turns it into money. Examples: Dishwashing. Changing diapers.",0
116,@sregoczei @GaryLoew @PaulEDawson I was talking about money creation. 98% of our money supply is created as credit when banks issue loans. Loans are nothing but promissory notes (to perform labour to repay the loan) signed by borrower in return of fictitious credit (the debt's imaginary counterpart).,0
117,@4ThemUnKn0wn ️,0
118,"Today's most weird statement that left me scratching my head... ""We don't need to arrest aronists it is going to burn with climate change anyway.""",0
119,@The_Hedgerider ❤️,0
120,@ThisIsGwyneth That’s why Albanese and labour will never get the blue collar votes because there green through and through and will only have a minority in parliament because they keep blaming climate change!! We have an arson emergency not a climate emergency. But labour will never budge..,0
121,"@seerutkchawla https://t.co/uJXDdFS1FH I saw this vid recently, and two points they made about psychopaths/cults: they use your own desire to be kind/be better (that remind you of anything) against you, and encourage you to disable your own internal critical/questioning voice.",0
122,@fitzy_online @ThisIsGwyneth We also have a lack of hazard reduction emergency!,0
123,"We see a lot of Animal Rights activists sharing ""all lives matter"" ontop of pictures of animals... It feels like ""one causers"" are out to create hassle again. Do they not know the ""all lives matter"" is squarely in the White Supremacy box now? Do they not know their fight is ..",0
124,@victoria_doh Will check it out!,0
125,"It’s snowing in Texas and we had thunderstorms in Michigan last night.  But, yeah...Climate change is a hoax",0
126,@IrlagainstFash Who are they?,0
127,@lisastark351 Down I-69 a ways it’s windy AF,0
128,"What film is worth a watch Black comedy pretty much tops the list Subtitles are fine Nothing about or including football, car chases, explosions, love stories, animals, children, religion, royals or yas, historical, or westerns. God, I'm fussy tonight RTs apprec. ",0
129,"@Tompool14 Different animal rights activists and groups around Europe, here too.",0
130,@scootdogster It was really windy here last night. Seems to have calmed down a lot now.,0
131,"@YESthatcherDead ""The Cottage"" with Rees Shearsmith, or ""The ballad of Buster Scruggs"" on Netflix.",0
132,Binnenkort is dit de laatste ijsbeer Afgeschoten in Noorwegen  Kwam te dichtbij de toeristen  Of kwamen de toeristen te dichtbij?  Het dier had gewoon honger  Wij vernietigen zijn habitat ☠️ #ecocide #AnimalRights #GodVerdomme https://t.co/XeUhB04pcs,0
133,"@YESthatcherDead oops - the ballad of Buster Scruggs is a westernery film, but certainly worth a watch.",0
134,David Attenborough calls Australia's bushfires 'the moment of crisis' to address climate change https://t.co/YZhgAOXqRZ,0
135,@PieterseMarc Inderdaad. Mensen beseffen niet dat dit de omgekeerde wereld is. Net als bomenrijen die gekapt moeten worden omdat automobilisten te hard rijden en er tegenaan knallen.,0
136,Jim Bakker is a great reminder that all religions are cults full of hypocrisy #IMPOTUS #FakeChristians #Trumpocrites,0
137,@guardianeco He is a delusional misguided fool ... check out @EcoSenseNow posts,1
138,"@gaiaontwaakt Ja...laat ze zich maar doodrijden. Mensen genoeg, bomen niet.",1
139,"@MarleyButler5 @guardianeco @EcoSenseNow Once, when asked to elaborate on one of his documentaries, his response was ""I'm just the narrator""",0
140,"@taradublinrocks @taradublinrocks There is always skipping rhe ""Religion"" and having a spiritual relationship one on one directly with God as you preceive God.",0
141,@PieterseMarc,0
142,"@AdamMac94561276 @MarleyButler5 @guardianeco @EcoSenseNow Source on that one, big mac?",0
143,"@gougis_jr @taradublinrocks Right. And ppl in every religion makes identical claim: having a direct spiritual relationship w G-d.  I visited a mosque &amp; Imam said this is NOT a religion, but a spiritual relationship w G-d. Verbatim. LDS, Pentecostal = same: relationship, not a religion.",0
144,You can care about animal rights without making a direct comparison to caring about black lives. Like it’s really possible to think multiple things are important without saying they’re the same,0
145,Extraordinary that 3 Conservative Prime Ministers of UK - #Cameron #May #Johnson - progressively implemented #climatechange legislation to commit UK to zero emissions yet Australian #Conservatives violently oppose it. Can someone give me a sane explanation of the difference?,0
146,"Il y avait la laideur de Zekri, CFCM, qui s'était dévoilée largement pour Mila, là c'est un membre du clergé catho qui rend les athées responsables des attentats. Et on voudrait que les religions, qui produisent tels.....je n'ai pas de mots, ne nous écoeurent pas ?",0
147,"@QueenMab87 Also, in theory dairy farming can be done ethically. (But too often it isn’t.)",0
148,@EVERALDATLARGE They've already dug up and burnt the little bit of coal they had.,0
149,@Triplejay58 @EVERALDATLARGE Easy answer EC. Fossil fuel industry is a major donor to both parties.,0
150,@liberte_lily On peut dire que les risques de violence en retour a #JeSuisMila ne sont pas nuls. Je ne comprends pas cette polémique.,0
151,"@KTreelight @QueenMab87 Wow. That’s terrible. But still, those are large scale operations and that’s how they’re currently run. Couldn’t a small farm keep some females and arrange occasional breeding, let females keep their young, and take unfertilized eggs and some milk without destroying family life?",0
152,"@disco_socialist @prd_perspective @subtlerbutler @TallgirlBigcity @rebeccanagle @originalspin @ewarren Yes, I think compared to widespread corruption of our economy, government, climate change, the crumbling of our democratic foundations, a good faith misunderstanding of Native American ancestry is minor. Native American rights are important, yes, but are separate from this",0
153,"@Fuenteojuvena Il ne devrait pas y avoir de polémique effectivement. Une jeune fille tient des propos légaux. On devrait juste mettre la gomme sur l'enquête pour trouver tous ceux qui l'ont harcelée puis menacée, pour sa sexualité puis pour ses propos, et les sanctionner comme il se doit. Point",0
154,"@KTreelight @QueenMab87 With one male (rooster/bull) per farm, or a “circuit“ male that services multiple farms? (Artificial insemination does raise consent issues.) Isn’t that how small farming used to work? Of course, small business of any kind is now at a disadvantage—and maybe isn’t viable.",0
155,@liberte_lily Espérons...,0
156,@Mutant187 @KTreelight Can you untag me?,0
157,La belleza de la religión https://t.co/j8EOBeXHZo,0
158,"@cdgarlock Keep repeating that first line and maybe you’ll get people to agree with you. Won’t make you suck any less, though.",1
159,@SarcasmToSpare I wont suck any less for getting people to see reality? Dunno,0
160,@senior_manaba Se desestresaron,0
161,"#HappyNationalDogDay, and remember that Islam views dogs as “impure” and Prophet Muhammad ordered the killing of non-herding and non-hinting dogs during his life. Islam is religion that hates dogs because Muhammad hated them like he hated many beings.  Islamic animal rights. https://t.co/CibaO8pyS9",0
162,@cdgarlock You clearly live in your own reality.,0
163,@SkepticMohamed But God created dogs. If Dogs were impure why would God create them? Since God is pure and perfect all his creations are .,0
164,@Edgar98598762 @DunnBAD @goodasnew @ProudResister Do democrats or Republicans want to raise hourly wages? Do D or R want everyone to have access to healthcare? Do D or R wantvwonen to have a right to get a safe abortion? Do D or R believe in Climate Change?,0
165,"@clemmike2 God in Islam is Allah, and Allah wants whatever Muhammad wants. Infidels like me can’t grasp this wisdom.",1
166,"@PattyArquette I will vote for Biden, but he has to EARN my vote and give concessions to progressives in his platform.",0
167,@EviJani Asi estoy leyendo jajajajaja,0
168,The unelected &amp; unaccountable United Nations is making its biggest ever grab for control of your food under the guise of climate change &amp; sustainability. This nutty organisation has placed a billionaire vegan animal rights activist in charge of ‘the programme.’ Wake up to the UN,0
169,"@ProudResister Are Bernie supporters going to base their vote on internet meanies, or things like the environment, the supreme court, civil liberties, kids in cages?",0
170,@senior_manaba,0
171,@LouiseStephen9 It’s clear now that every agenda is aimed at destroying our health,0
172,Are they gonna have climate change drills where they hide under the desk like we had when I was a kid and we were worried about nuclear attack?,0
173,"@benigma2017 Very similar, yes. Your desk would not have protected you from a nuclear blast and it won't protect you from crop failure either.",0
174,Is religion a determinant in your relationship?,0
175,"@itsjillgardner @LouiseStephen9 Making us weak, compliant and dependant = vulnerable.",0
176,@AmandaTab1963 @LouiseStephen9 It’s working ☹️,0
177,@leftymathprof It was nice to think they had a plan though. Even if the plan was futile and idiotic.,0
178,"@Kinglamarr___ If she's serving God, I'm cool",0
179,Making Charles Moore the chairman of the BBC would be like appointing a factory farmer to head up an animal rights charity.,0
180,"Trolls do have an usual take on ""science,"" but lots of proof that climate denial is a lost cause. - #climatecrisis #climatechange https://t.co/6APFxNkfVD",0
181,"@GeraldKutney I'm sorry to see Pierre come to this, Gerald. He used to be a follower of mine, but from what I can see, fell deep into his own opinions about how climate science works. I had to Block him, which was rather painful to do. He's another #DenialMachine victim, lost in delusions.",0
182,@MatthewStadlen Our guilty white middle class privileged person is unhappy means it must be a good thing.,0
183,@Sholarh_ @Kinglamarr___ Thief,0
184,"@ScienceNotDogma @GeraldKutney Pierre, alas, has stepped off the deep end. I keep him on mute. He's invasive.",0
185,"@IphoneMumbai @MatthewStadlen I would say Charles is a white elitist funded by the anonymous Tufton St network. Sure, it’s all about the guilt ",0
186,I wrote some thoughts. Why Christ wouldn't aspire to ‘Christic Manhood’ - Religion News Service https://t.co/sfFZNsOUzq,0
187,"The ""scientific"" knowledge of climate deniers is impossible to describe... but, but , but... more proof that climate denial is a lost cause. - #climatechange #climatecrisis https://t.co/MFrA3TFZSZ",0
188,@worcestercourt @MatthewStadlen Well... I am talking about the ginger bloke.,0
189,"@NatePyle79 I love this article. You’ve said what I’ve thought for so long! I grew up under a Dad who cooked, cleaned, served our home and taught me that manhood was about surrender, not power. My entire life my manhood had been challenged by others because I wasn’t “manly”.",0
190,@GeraldKutney Scoentific knowledge of climate doomers is impossible to describe. Case in point the science that predicted the Artic would be ice free in summer 2013.,0
191,"@IphoneMumbai do you think you're intellectually capable of playing the ball rather than the man, Dean? No, really - I'd be interested to know what your view of yourself is. Do you think you're clever? Funny? Sharp-witted?",0
192,"@NatePyle79 Thank you not only for your thoughts on manhood and what that is, but also how Jesus relates to this. So many want to fight the culture war and make following Jesus about rejecting “femininity”. A very special thing that God created!",0
193,@cco8226 @GeraldKutney Source? I’ve heard his rattled so many times never a single source. https://t.co/D64KNVublo  https://t.co/E5970m86Gk  https://t.co/k7diYvt6Qu  https://t.co/2pD1r958Jo  https://t.co/27wXspS11E  https://t.co/Gh32QiogpA  https://t.co/CSsibeIZFN,0
194,@MatthewStadlen It would be such a poor decision and again not about ability or creativity but networks or loyalty to Brexit,0
195,Wow..I am sorry..These statements are a mess..You don't govern by RELIGION..You govern for ALL..,0
196,I've looked at this recent picture of Los Angeles a lot lately. A better world with good air quality is possible with the collapse of big oil. Now is the time to invest in green energy! Let’s build a green infrastructure to combat climate change and create good-paying union jobs. https://t.co/i69bcwQ3gC,0
197,"I'm by no means an animal rights activist. And I would never begrudge a starving man a meal of desperation.  But McKenna is a privileged woman from the Western World who sought out animal suffering and a taboo dinner of dog just because when in Rome, I guess. It's gross.",0
198,@Megawatts55 God can only take you so far. Killing for God is not good optics.,0
199,@BWestbrookAZ8 Do you know who took this picture?,0
200,@vasquezdulce I don’t my friend @fightdenial shared it on Facebook a few weeks ago.,0
201,@SheilaGunnReid Can I shamelessly plug a Canadian charity my friend is involved in? https://t.co/tXKFTJmU4w They shut down dog meat factories in Korea and rehabilitate the dogs for adoption.,0
202,"@MargeNAvera In fact, God doesn't want that..",0
203,"@BWestbrookAZ8 @vasquezdulce I couldn’t find the original photographer, but I think I saw it first on a City of Los Angeles post. Maybe a Councilmember or staffer?",0
204,"@Megawatts55 It's tradition, not a mandate.",0
205,@ManuvSteele I'm dead. McKennel.,0
206,"“Climate scientists, activists and the investors who align with them now view gas in the same light as they view coal: as a dangerous greenhouse emitter that has no place in the economy of a world determined to avoid the worst impacts of climate change.” https://t.co/irtLliYM2e",0
207,"Had an option to elect young gay man, &amp; veteran, bringing REAL change to our nation. But NO, his sexual preference was TOO much for you backwards religious rednecks OK, I'm pissed off right now! #Buttigieg2020 This was all about FRIGGING religion. &amp; that is the reality! REALITY",1
208,@SheilaGunnReid Sounds like it would be her favorite restaurant too.,0
209,"@ElaineEDO Read our Report based on 1,000 well readings in Pilliga. Santos’ Narrabri Gas Project GHG emissions nearly on par with coal. Coal seam gas is not the transitional fuel industry claims. So why is @RobStokesMP nursing this losing project along? #Narrabri  https://t.co/r0wfxG7K9O",0
210,@MojackMarine I may have gone too far... https://t.co/petkstieXe,0
211,"I just really hope you can feel his suffering, so that you #DontBuyAticket #OpCloseTheZoo #EndCaptivity #ZoosAreAbuse #AnimalRights #unknown #Anonymous https://t.co/TBO1jCISXB",0
212,"@ElaineEDO @RobStokesMP Challenged about the high C02 data, not previously disclosed to #ASX or NSW Govt, Santos Chair Keith Spence made some further damaging statements at $STO AGM which are incorrect.Response to Santos is HERE- https://t.co/tavWk50qkv #Narrabri @SffRoy",0
213,@corgiwrangler1 Names please...PLEASE!!!!!!!!,0
214,"@Unknown__2b CC: @UN @WHO @EU_Commission Dear World citizens, What World Leaders don't understand is that if #AnimalWelfare &amp; #ClimateEmergency Standards &amp; deadlines are NOT met they will have no world to rule cause we will ALL be dead.",0
215,First climate change... then coronavirus... what will the left make 17-yr-old high school drop out Greta Thunberg an expert in next?,0
